Marchio;Nome;Prezzo;Valutazione;Colore
Geox;D Nydame A, Sneakers Donna;71,89;4,4;Nero
Geox;D Damiana C, Stivaletto Donna;76,26;4,7;Nero
Geox;D Spherica A, Sneakers Donna;99,95;4,5;Nero
Geox;D Spherica Actif, Scarpe da Ginnastica Donna;99,95;4,4;Nero
Clarks;Tivoli Zip, Scarpe da Ginnastica Donna;80,76;4,1;Nero
Geox;D Charlene C, Balletto Piatto Donna;90,12;4,2;Nero
Geox;D Felicity G, Stivaletti Donna;90,12;4,5;Nero
Geox;D BLOMIEE B Scarpe da Ginnastica, Donna;47,8;4,3;Nero
Geox;D Charlene C, Ballet Flat Donna;114,67;4,1;Nero
Timberland;Timberland Women's Laurel Court Sneaker;114,67;4,7;Nero
Geox;D Annytah A, Balletto Piatto Donna;40,28;4,3;Nero
Geox;D Spherica Ec1, Scarpe Donna;35,82;3,9;Nero
Geox;D Blomiee B, Scarpe da Ginnastica Donna;24,56;4,1;Nero
Geox;D Serilda C, Stivale alla Caviglia Donna;40,94;4,2;Nero
Geox;D Spherica D, Sneakers Donna;40,94;4;Nero
Geox;D Skyely, Scarpe da Ginnastica Donna;85,74;4,2;Nero
Clarks;Freva85 Court, Pump Donna;109,9;4,6;Nero
Geox;Sneakers SPHERICA Plus A - LT Taupe/LT Gold;109,9;4,1;Nero
Clarks;Ambyr Joy, Scarpe décolleté Donna, Nero;55,73;5;Nero
Geox;D Blomiee D, Scarpe da Ginnastica Donna;81,89;4,4;Nero
Clarks;Westlynn Bella, Mocassino Donna;81,89;4,1;Nero
Geox;D Alleniee B, Scarpe da Ginnastica Donna;37,18;4,2;Nero
Geox;D Giselda A, Pompa Donna;73,69;3,9;Nero
Clarks;Ambyr Shine 261578604, Tacchi Donna;73,69;4,2;Nero
Geox;D Charyssa, Balletto Piatto Donna;34,27;4,4;Nero
Geox;D Meleda B, Scarpe da Ginnastica Donna;43,32;4;Nero
Geox;D Giselda R A, Pompa Donna;65,35;2,6;Nero
Clarks;Womens Sharon Gracie Loafer, Black Leather with Dark Tan Welt, 8 Wide US;98,28;4;Nero
Geox;D Iridea C, Stivale alla Caviglia Donna;98,28;5;Nero
Geox;D Ilde C, Scarpe da Ginnastica Donna;67,03;3,9;Nero
Geox;D Charyssa C, Balletto Piatto Donna;89,9;4,5;Nero
Clarks;Ambyr2 Braley, Scarpe décolleté Donna;89,9;4,2;Nero
Geox;D Annytah D, Ballerine Donna;40,38;3,8;Nero
Clarks;Wallabeeevo, Scarpe da Ginnastica Donna;58,68;4,3;Nero
Clarks;Hollyhock Walk, Scarpe da Ginnastica Donna;82,12;4,4;Nero
Geox;D Bleyze B, Mocassini Donna;99,95;4,1;Nero
Geox;D Iridea M, Scarpe Donna;99,95;4,4;Nero
Geox;D Ljuba A, Scarpe da Ginnastica Donna;56,2;4,3;Nero
Geox;D Spherica Actif, Scarpe da Ginnastica Donna;90,08;4;Nero
Geox;D Hoara E, Stivaletti Donna;90,08;4,3;Nero
Geox;D Ilde B, Scarpe Da Ginnatica Donna;44,03;3,8;Nero
Geox;D Bulmya B, Scarpe da Ginnastica Donna;73,73;4;Nero
Timberland;Skyla bay 2.0, Scarpe da Ginnastica Donna;31,99;3;Nero
Geox;D Spherica Ec1, Moccasin Bambine e Ragazze;103,72;4,3;Nero
Geox;D Bulmya B, Scarpe da Ginnastica Donna;119,9;4,7;Nero
Clarks;Griffin Lane 261431134, Scarpe Stringate Derby Donna;119,9;4,4;Nero
Lumberjack;Karter, Scarpe da Ginnastica Donna;76,14;2;Nero
Geox;Sneakers Basse spherica Plus Uomo U55MPA06KEKC9999;99,9;4,4;Nero
Geox;D Sandal Vega, Donna;99,9;4,5;Nero
Lumberjack;Vendor, Scarpe da Ginnastica Donna;69,08;4,5;Nero
Geox;D Bibbiana, Pompa Donna;46,2;3,7;Nero
Geox;D Bibbiana A, Scarpa décolléte Donna;61,66;4,2;Nero
Geox;D Faviola C, Scarpe con Tacco Donna;61,66;3,8;Nero
Geox;D Claudin A, Scarpe da Ginnastica Donna;42,54;4,1;Nero
Geox;D Coronilla, Pompa Donna;49,9;3,2;Nero
Geox;D Spherica Ec1 B, Oxford Donna;49,9;5;Nero
Geox;D Eleana A, Scarpe Donna;66,71;4,3;Nero
Clarks;Orinoco2 Penny, Mocassino Donna;58,11;4,5;Nero
Geox;D Serilda 60 D, Mary Jane Donna;91,61;3,9;Nero
Geox;D Charlene C, Balletto Piatto Bambine e Ragazze;119,9;4,2;Nero
Geox;D Blomiee H, Scarpe da Ginnastica Donna;119,9;3,2;Nero
Geox;D Ilde B, Moccasin Donna;81,15;4,1;Nero
Clarks;Ambyrlyn bay, Sandali con Tacco Donna;99,9;4,1;Nero
Geox;D Tabelya A, Sneakers Donna;99,9;4,4;Nero
Geox;D Cristael B, Moccasin Donna;93,23;3,9;Nero
Geox;D Blomiee C, Sneakers Donna;92,56;4,2;Nero
Geox;D Pheby 50 B, Mary Jane Donna;119,9;4,7;Nero
Lumberjack;Sneakers Donna SW78211-001;119,9;4,2;Nero
Clarks;Deva Mae, Sandali con Cinturino alla Caviglia Donna;64,14;4,5;Nero
Geox;D Spherica Actif B, Scarpe da Ginnastica Donna;98,28;4,2;Nero
Geox;D Spherica D, Sneakers Donna;98,28;4,3;Nero
Geox;D New Annya A, Scarpe Donna;41,07;4,3;Nero
Timberland;Carnaby Cool, Stivali Chelsea Donna;85,4;4,3;Nero
Clarks;Sharon Dolly, Mocassino Donna;110;3,8;Nero
Geox;D Eleana A, Scarpe Donna;110;4,4;Nero
Geox;D Faviola A, Scarpe Donna;67,82;4,3;Nero
Clarks;Brinkley Emily, Mocassino Basso Donna;53,42;3,8;Nero
Geox;D Serilda H, Moccasin Donna;62,25;4,4;Nero
Geox;D Spherica Ec13 A, Scarpe da Ginnastica Donna;65,53;5;Nero
Geox;D Runntix A, Scarpe da Ginnastica Donna;65,53;4,6;Nero
Geox;D Desya A, Scarpe da Ginnastica Donna;59,98;5;Nero
Geox;D Myria D, Scarpe da Ginnastica Donna;90,08;3,4;Nero
Clarks;Clarks Women's Couture Bloom Ballet Flats, Talla única;90,08;4,5;Nero
Geox;D Jaysen A A, Sneaker Slip-on Donna;36,74;4,2;Nero
Timberland;Malibu Waves Ankle, Sandali Donna;38,59;4,7;Nero
Geox;D Pheby 50 A, Pompa Donna;38,59;4,4;Nero
Geox;D Hoara G, Stivaletti Donna;54,88;4,6;Nero
Geox;D Myria C, Scarpe da Ginnastica Donna;106,48;4,3;Nero
Geox;D Rawelle A, Stivali Bambine e Ragazze;106,48;4;Nero
Geox;D Coronilla A, Pompa Donna;62,25;4;Nero
Geox;D Dalyla A, Scarpe da Ginnastica Donna;55,49;4;Nero
Clarks;Freva55 Strap, Scarpe décolleté Donna;73,1;4,2;Nero
Clarks;Un Maui Lace, Scarpe da Ginnastica Donna;73,1;4,1;Nero
Geox;D Eleana A, Mary Jane Donna;65,49;4;Nero
Geox;D Doralea A, Sneakers Donna;44,81;4,4;Nero
Geox;D Braies B ABX, Scarpe da Ginnastica Donna;90,08;4;Nero
Lumberjack;Freya, Scarpe con Lacci Donna;90,08;4,3;Nero
Geox;D Jaylon 2 B, Moccasin Donna;61,39;3,1;Nero
Clarks;Funny Bar, Mocassino Basso Donna;45,39;4,4;Nero
Geox;D Allenie A, Scarpe da Ginnastica Donna;78,85;4;Nero
Lumberjack;Daria, Scarpe con Lacci Donna;89,9;3,8;Nero
Timberland;Carnaby Cool, Oxford Donna;89,9;4,3;Nero
Geox;D Charlene B, Balletto Piatto Donna;67,81;4,2;Nero
Clarks;Maritsa Lara, Sandali con Cinturino alla Caviglia Donna;46,86;4,3;Nero
Clarks;Aubrie Sun, Pompa Donna;56,37;4,3;Nero
Geox;D Spherica Actif A, Scarpe da Ginnastica Donna;64,49;5;Nero
Geox;D Spherica Ec4.1 D, Scarpe da Ginnastica Donna;50,11;4,1;Nero
Geox;D Arlara I, Scarpe Donna;69,77;4,2;Nero
Clarks;Hamble Loafer, Mocassini Donna;63,16;4,5;Nero
Geox;D Myria B, Scarpe da Ginnastica Donna;78,76;4,4;Nero
Geox;D Spherica 4x4 B ABX, Sneakers Donna, 37 EU;114,73;4,5;Nero
Lumberjack;Stivaletto Donna SWE7213-001;75,4;4,5;Nero
Geox;D Diamanta A, Scarpe da Ginnastica Donna;80,29;4,4;Nero
Clarks;Westlynn Ayla, Mocassino Donna;98,28;4,2;Nero
Geox;D Rawelle A, Stivaletti Donna;98,28;4,4;Nero
Geox;D Spherica Ec13 A, Scarpe da Ginnastica Donna;32,34;4,3;Nero
Geox;Spherica, Scarpe da Ginnastica Donna;122,87;4,6;Nero
Clarks;Sandalo piatto da Donna Arla Kaylie;122,87;4,2;Nero
Geox;D Graisy G, Scarpe da Ginnastica Donna;31,96;4,9;Nero
Clarks;Un Rio Strap, Scarpe da Ginnastica Basse Donna;74,85;3,9;Nero
Timberland;Bailey Park, Sandalo Donna;86,42;5;Nero
Clarks;Breeze, Scarpe da Ginnastica Donna;76,82;5;Nero
Clarks;Craft Speed, Scarpe da Ginnastica Donna;80,73;3,8;Nero
Clarks;Zylah Maggio, Mocassino Donna;109,9;4,1;Nero
Geox;D New Asheel C, Stivale alla Caviglia Donna;109,9;4,4;Nero
Lumberjack;Cecilia, Scarpe da Ginnastica Donna;76,58;4,3;Nero
Clarks;Jocelynne Cam, Scarpe décolleté Donna;122,87;4,1;Nero
Geox;D Blomiee C, Scarpe da Ginnastica Donna;122,87;4,1;Nero
Geox;D Annytah B, Ballerina Donna;63,84;4,6;Nero
Clarks;Dashlite Jazz, Scarpe da Ginnastica Donna;98,28;3,8;Nero
Geox;D Calithe, Scarpe da Ginnastica Donna;98,28;4,6;Nero
Geox;D Jaysen E, Scarpe da Ginnastica Donna;28,95;3,6;Nero
Clarks;Hero Lite, Scarpe da Ginnastica Donna;89,68;3,8;Nero
Geox;D Spherica Actif C, Scarpe da Ginnastica Donna;64,7;4,4;Nero
Geox;D Spherica Actif A, Scarpe da Ginnastica Donna;90,16;4;Nero
Geox;D Spherica 4x4 B ABX, Sneakers Donna;45,39;4;Nero
Geox;D Giselda, Stivale alla Caviglia Donna;85,2;4,3;Nero
Geox;D Gelsa Low B, Sandali con Zeppa Donna;122,87;4,4;Nero
Geox;D Bulmya A, Scarpe da Ginnastica Donna;122,87;4;Nero
Geox;D Arlara G, Stivaletti Donna;63,63;4,2;Nero
Geox;D Brionia, Sandali Donna;90,08;4,3;Nero
Geox;D Serilda F, Moccasin Donna;90,08;4;Nero
Geox;D New Marykarmen B, Sandalo con Tacco Donna;47,31;3,4;Nero
Geox;D Eraklia R 80 C, Sandalo con Tacco Donna;73,69;4,8;Nero
Geox;D Spherica C, Sneakers Donna;73,69;4;Nero
Geox;D Spherica Ec6 A, Sandali con Zeppa Donna;96,55;4,5;Nero
Geox;D Pontoise F, Scarpe da Ginnastica Donna;109,9;4,3;Nero
Timberland;Malibu Waves Basic X Strap, Sandali Donna;109,9;4,3;Nero
Clarks;Kaylin Cara, Scarpe con Tacco Donna;57,34;4,2;Nero
Geox;D New Eraklia 80, Sandalo con Tacco Donna;48,93;3,4;Nero
Clarks;Serina35 Cross, Sandali Donna;63,44;3;Nero
Geox;D Lampedusa D, Sandalo Espadrillas con Zeppa Donna;63,44;3,9;Nero
Geox;D Dalyla A, Scarpe da Ginnastica Donna;45,07;4,2;Nero
Geox;D Panarea C, Sandali con Zeppa Donna;65,39;3,2;Nero
Clarks;Clarks Women's Hero Lite Lace Sneaker;47,48;4,8;Nero
Geox;D Charlene C, Ballerina Donna;121,13;4,3;Nero
Geox;D Vega A, Sandali Punta Aperta Donna;67,2;4,8;Nero
Geox;D Bulmya B, Scarpe da Ginnastica Donna;63,07;3,7;Nero
Geox;D Palmaria, Moccasin Donna;77,87;3,9;Nero
Lumberjack;Stivale Donna RAMONE SWC2107-002 S01 CB001 BLACK;77,87;4,5;Nero
Geox;D Vivyanne High A, Scarpe con Tacco Donna;70,37;4;Nero
Geox;D Myria C, Scarpe da Ginnastica Donna;49,17;4,5;Nero
Geox;D Braies B ABX B, Scarpe da Ginnastica Donna;62,42;4,4;Nero
Geox;D Soleil A, Sandali Donna;97,48;3,8;Nero
Geox;D Sozy S, Sandali Piatti Donna;106,48;5;Nero
Clarks;Nerisa Pearl, Sandali Donna;106,48;4,1;Nero
Timberland;Newport bay Bumper Toe Ox, Sneaker Low Top Donna;68,04;3,5;Nero
Geox;D Bulmya B, Scarpe da Ginnastica Donna;49,87;3,9;Nero
Geox;D Sozy S Y, Sandali Piatti Donna;64,26;4,2;Nero
Geox;D Spherica Ec1 A, Moccasin Donna;89,9;3,8;Nero
Timberland;Safari Dawn Md;89,9;4,4;Nero
Geox;D. Ischia Corda, Sandali Donna;73,46;4,1;Nero
Clarks;Arla Stroll, Sandali Donna;84,9;4,3;Nero
Clarks;Tealite Grace, Sandali a Punta Aperta Donna;84,9;4,4;Nero
Geox;D Brionia, Sandali Donna;63,26;3,9;Nero
Clarks;Kyarra Faye, Sandali con Zeppa Donna;50,81;1,5;Nero
Geox;D Brionia High, Infradito Donna;90,08;3;Nero
Geox;D Bulmya B, Scarpe da Ginnastica Donna;90,08;3,8;Nero
Clarks;Jaylan Ray, Sandali Donna;42,92;4,3;Nero
Geox;D Bulmya B, Scarpe da Ginnastica Donna;29,98;4,2;Nero
Clarks;Laina Rae, Scarpe con Tacco Donna;59,21;3,5;Nero
Clarks;Karsea Mule, Slide Sandal Donna;35,18;4;Nero
Clarks;Laina Rae, Scarpe con Tacco Donna;74,97;4,3;Nero
Clarks;Karsea Mule, Slide Sandal Donna;51,08;4,2;Nero
Geox;Geox Women's D Alleniee B Trainers;68,88;5;Nero
Geox;D Spherica Ec5 D, Sandali Donna;72,55;4,2;Nero
Clarks;Mayhill Walk, Scarpe da Ginnastica Donna;99,9;2,7;Nero
Geox;D Pheby 50 B, Scarpe Donna;99,9;3,7;Nero
Geox;D Spherica Ec5 A, Sandali Sportivi Donna;69,21;4,8;Nero
Clarks;Orinoco Cross, Sandali Donna;98,36;4,3;Nero
Clarks;Brinkley Sea, Infradito Donna;98,36;4,6;Nero
Geox;D Spherica Actif X2, Scarpe da Ginnastica Donna;59,24;3,8;Nero
Geox;D. Ischia Corda, Sandali Donna;90,08;4,4;Nero
Clarks;Westlynn Ayla, Mocassino Donna;90,08;4,2;Nero
Clarks;Coast Daisy, Sandali Donna;73,31;4,3;Nero
Geox;D Pontoise F, Scarpe da Ginnastica Donna;29,52;3,5;Nero
Geox;D Spherica C, Scarpe da Ginnastica Donna;39,71;3,9;Nero
Geox;D Lampedusa D, Sandalo Espadrillas con Zeppa Donna;76,46;4,2;Nero
Geox;D Panarea C, Sandali con Zeppa Donna;48,71;3,1;Nero
Geox;Geox Women's D Alleniee B Sneaker;81,89;4,2;Nero
Clarks;Clarkwell Demi, Scarpe Chukka Donna;81,89;4,4;Nero
Clarks;Wallabeeevo, Scarpe da Ginnastica Donna;76,82;4,2;Nero
Geox;D Spherica 4x4 B ABX, Sneakers Donna, 37 EU;64,88;5;Nero
Geox;D Charlene C, Balletto Piatto Bambine e Ragazze;67,2;3,9;Nero
Lumberjack;Sneakers Donna SWF8005-007;100,14;5;Nero
Clarks;Maritime May, Sandali Donna;109,9;4;Nero
Clarks;Maye Bella, Stivali alla Moda Donna;109,9;4,2;Nero
Clarks;Freva55 Court, Pump Donna;62,42;4,3;Nero
Geox;D Diamanta B, Platform Donna;68,04;4,2;Nero
Geox;D KENCY A, Scarpe da Ginnastica Donna;70,99;4,2;Nero
Lumberjack;Ramone, Stivaletti Bassi con Lacci Donna;36,1;4,3;Nero
Clarks;Jenette Ease, Ballet Flat Donna;74,2;4,5;Nero
Geox;D Myria, Sneakers Donna;32,34;4,3;Nero
Geox;D Aurely 50 B, Sandali Donna;122,87;4,3;Nero
Clarks;Alda Strap, Sandali Donna;122,87;5;Nero
Clarks;Dashlite Wish, Sandalo Donna;53,42;4,4;Nero
Geox;D Naileen A, Sandali Piatti Donna;46,72;4;Nero
Geox;D Eleana, Stivale alla Caviglia Donna;34,25;4,5;Nero
Geox;D Marsilea A, Balletto Piatto Donna;72,29;5;Nero
Geox;D Pheby 80, Stivale alla Caviglia Donna;99,95;3,8;Nero
Lumberjack;Scarpe Sneakers Donna Eco Pelle Black;99,95;5;Nero
Geox;D Serilda 60 E, Stivale alla Caviglia Donna;78,8;4,3;Nero
Geox;D Brionia High, Scarpa con Cinturino Posteriore Donna;60,16;4,3;Nero
Geox;D Elidea Wedge A, Stivale alla Caviglia Donna;45,42;4;Nero
Clarks;Karsea Straps, Sandal Donna;52,25;3,7;Nero
Timberland;Capri Sunset Wedge, Ciabatte Donna;90,08;4,1;Nero
Clarks;Kayleigh Aster, Scarpe da Ginnastica Donna;90,08;3,8;Nero
Geox;D Sozy S, Sandali Piatti Donna;76,66;4;Nero
Geox;D Damiana C, Stivaletto Donna;52,27;4,7;Nero
Lumberjack;Karter, Scarpe da Ginnastica Donna;114,67;2;Nero
Geox;D Damiana, Stivaletto Donna;114,67;4,2;Nero
Clarks;Fibbia Neva, Anfibi Donna;34,2;5;Nero
Geox;Geox Women's D Alleniee B Trainers;114,67;5;Nero
Clarks;Orinoco2 Penny, Mocassino Donna;114,67;4,5;Nero
Clarks;Scene Star, Stivali alla Moda Donna;43,37;4,4;Nero
Geox;D Arlara I, Scarpe Donna;68,88;4,1;Nero
Clarks;Griffin Kilt, Mocassini Donna;85,4;4,2;Nero
Geox;D Lauressa A, Scarpe da Ginnastica Donna;110;4,1;Nero
Clarks;Maritime May, Sandali Donna;110;3,9;Nero
Geox;D Graisy G, Scarpe da Ginnastica Donna;69,65;4,2;Nero
Clarks;Hamble Loafer, Mocassini Donna;114,73;4,2;Nero
Geox;D Dalyla B, Sneakers Donna;69,61;3,7;Nero
Geox;D Eleana A, Pompa Donna;39,28;5;Nero
Geox;D Spherica Actif X2, Scarpe da Ginnastica Donna;46,72;4;Nero
Clarks;Zylah Maggio, Mocassino Donna;89,68;3,8;Nero
Clarks;Nalle Lace, Scarpe da Ginnastica Donna;57,72;4,4;Nero
Geox;D Iridea B ABX, Stivale alla Caviglia Donna;73,73;4,1;Nero
Geox;D Falena B ABX C, Sneakers Donna;73,73;4;Nero
Clarks;Calla Facilità, Mocassino Basso Donna;45,27;4,3;Nero
Geox;D Brionia, Sandali Donna;51,07;4,1;Nero
Lumberjack;Ravenne, Scarpe con Lacci Donna;63,76;4,1;Nero
Clarks;Brinkley Ave, Scarpe da Ginnastica Donna;61,12;4,1;Nero
Clarks;Dashlite Jazz, Scarpe da Ginnastica Donna;85,11;4,1;Nero
Geox;D New Eraklia 15 A, Sandali scorrevoli Donna;33,51;4,7;Nero
Geox;D Calithe, Scarpe da Ginnastica Donna;139,26;4,3;Nero
Clarks;Teresa Step, Pompa Donna;139,26;5;Nero
Geox;D Pheby 50 A, Pompa Donna;53,46;4,2;Nero
Geox;D Spherica Ec4.1 B, Scarpe da Ginnastica Donna;30,27;3,4;Nero
Geox;D Naileen A, Sandali Piatti Donna;45,32;4,6;Nero
Clarks;Un Rio Strap, Scarpe da Ginnastica Basse Donna;51,16;4,2;Nero
Clarks;Clarks Women's Couture Bloom Ballet Flats, Talla única;45,07;3,3;Nero
Geox;D Brionia F, Sandali Donna;62,32;4,3;Nero
Timberland;Safari Dawn Md;68,75;4,5;Nero
Geox;D Bleyze H, Scarpe Donna;139,9;3,3;Nero
Geox;D Zosma C, Sneakers Donna;139,9;2,6;Nero
Timberland;Laurel Court Suede, Scarpe da Ginnastica Donna;66,72;4;Nero
Timberland;Malibu Waves Basic X Strap, Sandali Donna;64,7;4,4;Nero
Clarks;Glide Hi Ella, Sandali con Zeppa Donna;90,16;4,4;Nero
Geox;D Leuca A, Sandali Piatti Donna;90,16;3,2;Nero
Geox;D Iridea C, Stivale alla Caviglia Donna;51,8;3,8;Nero
Clarks;Clarks Women's Ambyr Joy Pump;58,96;4,4;Nero
Geox;D Soleil A, Sandali Donna;75,57;4;Nero
Clarks;Kyarra Faye, Sandali con Zeppa Donna;48,52;4,4;Nero
Geox;D Pheby 50 B, Scarpe Donna;59,24;3,7;Nero
Geox;D Palmaria B, Balletto Piatto Bambine e Ragazze;90,08;4,1;Nero
Geox;D Ischia Corda, Sandali Donna;90,08;4,6;Nero
Geox;D Gelsa Low C, Sandali con Zeppa Donna;78,53;4,4;Nero
Geox;D Panarea, Sandali Espadrillas Wedge Donna;89,9;3,9;Nero
Geox;D Eleana, Stivale alla Caviglia Donna;89,9;4,4;Nero
Lumberjack;River 2, Stivaletti Bassi con Lacci Donna;69,58;4,2;Nero
Clarks;Karsea Mule, Slide Sandal Donna;73,69;4,3;Nero
Clarks;Orinoco Cross, Sandali Donna;73,69;3,8;Nero
Geox;D Brionia Low B, Sandali Piatti Donna;59,44;4,6;Nero
Geox;D Spherica Ec5w A, Sandali Donna;90,08;4,4;Nero
Geox;D Dalyla A, Scarpe da Ginnastica Donna;90,08;4,4;Nero
Geox;D Nydame A, Sneakers Donna;96,18;3,9;Nero
Clarks;Funny Bar, Mocassino Basso Donna;48,02;4,3;Nero
Geox;D Cristael B, Moccasin Donna;90,08;4,6;Nero
Timberland;Carnaby Cool, Oxford Donna;90,08;4,3;Nero
Clarks;Brinkley Sea, Infradito Donna;51,08;1;Nero
Geox;Spherica, Scarpe da Ginnastica Donna;29,52;4;Nero
Geox;D Felleny G, Stivale alla Caviglia Donna;34,3;3,5;Nero
Geox;D Spherica 4x4 B ABX, Sneakers Donna;67,64;3,7;Nero
Geox;J Sandal Kodette Gir, Donna;109,9;4,8;Nero
Geox;D Sozy S, Sandali Piatti Donna;109,9;4,7;Nero
Geox;D Eraklia R 80 C, Sandalo con Tacco Donna;97,48;4,2;Nero
Timberland;Allington, Stivali Donna;106,48;4,1;Nero
Geox;D Spherica Ec5 D, Sandali Donna;106,48;4,6;Nero
Geox;D Floretia A, Balletto Piatto Donna;80,76;3,8;Nero
Geox;D Jaysen E, Scarpe da Ginnastica Donna;90,12;4,2;Nero
Geox;D New Asheel C, Stivale alla Caviglia Donna;90,12;4,9;Nero
Geox;D Marykarmen D358qa000, Sandalo Donna;67,81;3,5;Nero
Timberland;Bailey Park, Sandalo Donna;62,25;3,9;Nero
Geox;D Panarea, Sandali Espadrillas Donna;90,08;3,9;Nero
Geox;D New Eraklia 15, Sandali Piatti Donna;90,08;4,3;Nero
Geox;D Serilda 60 D, Mary Jane Donna;56,37;3,9;Nero
Geox;D Rawelle F, Stivale alla Caviglia Donna;39,71;4,3;Nero
Geox;D BLOMIEE B Scarpe da Ginnastica, Donna;63,84;4;Nero
Clarks;Breeze, Scarpe da Ginnastica Donna;98,28;3,2;Nero
Clarks;Sharon Dolly, Mocassino Donna;98,28;4,3;Nero
Geox;D Ilde C, Scarpe da Ginnastica Donna;47,77;4,3;Nero
Geox;D Spherica Ec5 D, Sandali Sportivi Donna;131,07;4,2;Nero
Clarks;Dashlite Wish, Sandalo Donna;131,07;4,1;Nero
Clarks;Mira bay, Sandalo Donna;45,39;4,5;Nero
Geox;D Spherica Ec1 A, Moccasin Donna;40,37;4,8;Nero
Geox;D Giselda A, Pompa Donna;48,55;3;Nero
Clarks;Hope Roxanne Halbschuhe, Mocassino Donna;65,49;3,6;Nero
Geox;D Bulmya B, Scarpe da Ginnastica Donna;65,49;4;Nero
Lumberjack;RAM, Scarpa Sportiva a Strappo da Uomo;50,94;2,8;Nero
Geox;D Charlene B, Ballerine Donna;46,07;4,2;Nero
Clarks;Mira Tide, Sandali Donna;97,73;4,2;Nero
Geox;D Hoara E, Stivaletti Donna;119,9;4,4;Nero
Geox;D Palmaria, Moccasin Donna;119,9;3,7;Nero
Geox;D Meleda B, Scarpe da Ginnastica Donna;62,09;4,2;Nero
Geox;D Spherica Ec1, Moccasin Bambine e Ragazze;98,28;4,3;Nero
Geox;D Sozy S, Sandali Piatti Donna;98,28;4,2;Nero
Clarks;Mayhill Walk, Scarpe da Ginnastica Donna;50,81;2,7;Nero
Geox;D Spherica Ec6 A, Sandali con Zeppa Donna;90,08;4,5;Nero
